filename,noisetype,snr
p299_351,ssn,5
p299_352,ssn,0
p299_353,station,15
p299_354,station,10
p299_355,station,5
p299_356,station,0
p299_357,traffic,15
p299_358,traffic,10
p299_359,traffic,5
p299_360,traffic,0
p299_361,babble,15
p299_362,babble,10
p299_363,babble,5
p299_364,babble,0
p299_365,cafeteria,15
p299_366,cafeteria,10
p299_367,cafeteria,5
p299_368,cafeteria,0
p299_369,car,15
p299_370,car,10
p299_371,car,5
p299_372,car,0
p299_373,kitchen,15
p299_374,kitchen,10
p299_375,kitchen,5
p299_376,kitchen,0
p299_377,meeting,15
p299_378,meeting,10
p299_379,meeting,5
p299_380,meeting,0
p299_381,metro,15
p299_382,metro,10
p299_383,metro,5
p299_384,metro,0
p299_385,restaurant,15
p299_386,restaurant,10
p299_387,restaurant,5
p299_388,restaurant,0
p299_389,ssn,15
p299_390,ssn,10
p299_391,ssn,5
p299_392,ssn,0
p299_393,station,15
p299_394,station,10
p299_395,station,5
p299_396,station,0
p299_397,traffic,15
p299_398,traffic,10
p299_399,traffic,5
p299_400,traffic,0
p299_401,ssn,0
p299_402,traffic,0
p299_403,metro,10
p299_404,station,10
p299_405,station,5
p301_001,babble,15
p301_002,babble,10
p301_003,babble,5
p301_004,babble,0
p301_005,cafeteria,15
p301_006,cafeteria,10
p301_007,cafeteria,5
p301_008,cafeteria,0
p301_009,car,15
p301_010,car,10
p301_011,car,5
p301_012,car,0
p301_013,kitchen,15
p301_014,kitchen,10
p301_015,kitchen,5
p301_016,kitchen,0
p301_017,meeting,15
p301_018,meeting,10
p301_019,meeting,5
p301_020,meeting,0
p301_021,metro,15
p301_022,metro,10
p301_023,metro,5
p301_024,metro,0
p301_025,restaurant,15
p301_026,restaurant,10
p301_027,restaurant,5
p301_028,restaurant,0
p301_029,ssn,15
p301_030,ssn,10
p301_031,ssn,5
p301_032,ssn,0
p301_033,station,15
p301_034,station,10
p301_035,station,5
p301_036,station,0
p301_037,traffic,15
p301_038,traffic,10
p301_039,traffic,5
p301_040,traffic,0
p301_041,babble,15
p301_042,babble,10
p301_043,babble,5
p301_044,babble,0
p301_045,cafeteria,15
p301_046,cafeteria,10
p301_047,cafeteria,5
p301_048,cafeteria,0
p301_049,car,15
p301_050,car,10
p301_051,car,5
p301_052,car,0
p301_053,kitchen,15
p301_054,kitchen,10
p301_055,kitchen,5
p301_056,kitchen,0
p301_057,meeting,15
p301_058,meeting,10
p301_059,meeting,5
p301_060,meeting,0
p301_061,metro,15
p301_062,metro,10
p301_063,metro,5
p301_064,metro,0
p301_065,restaurant,15
p301_066,restaurant,10
p301_067,restaurant,5
p301_068,restaurant,0
p301_069,ssn,15
p301_070,ssn,10
p301_071,ssn,5
p301_072,ssn,0
p301_073,station,15
p301_074,station,10
p301_075,station,5
p301_076,station,0
p301_077,traffic,15
p301_078,traffic,10
p301_079,traffic,5
p301_080,traffic,0
p301_081,babble,15
p301_082,babble,10
p301_083,babble,5
p301_084,babble,0
p301_085,cafeteria,15
p301_086,cafeteria,10
p301_087,cafeteria,5
p301_088,cafeteria,0
p301_089,car,15
p301_090,car,10
p301_091,car,5
p301_092,car,0
p301_093,kitchen,15
p301_094,kitchen,10
p301_095,kitchen,5
p301_096,kitchen,0
p301_097,meeting,15
p301_098,meeting,10
p301_099,meeting,5
p301_100,meeting,0
p301_101,metro,15
p301_102,metro,10
p301_103,metro,5
p301_104,metro,0
p301_105,restaurant,15
p301_106,restaurant,10
p301_107,restaurant,5
p301_108,restaurant,0
p301_109,ssn,15
p301_110,ssn,10
p301_111,ssn,5
p301_112,ssn,0
p301_113,station,15
p301_114,station,10
p301_115,station,5
p301_116,station,0
p301_117,traffic,15
p301_118,traffic,10
p301_119,traffic,5
p301_120,traffic,0
p301_121,babble,15
p301_122,babble,10
p301_123,babble,5
p301_124,babble,0
p301_125,cafeteria,15
p301_126,cafeteria,10
p301_127,cafeteria,5
p301_128,cafeteria,0
p301_129,car,15
p301_130,car,10
p301_131,car,5
p301_132,car,0
p301_133,kitchen,15
p301_134,kitchen,10
p301_135,kitchen,5
p301_136,kitchen,0
p301_137,meeting,15
p301_138,meeting,10
p301_139,meeting,5
p301_140,meeting,0
p301_141,metro,15
p301_142,metro,10
p301_143,metro,5
p301_144,metro,0
p301_145,restaurant,15
p301_146,restaurant,10
p301_147,restaurant,5
p301_148,restaurant,0
p301_149,ssn,15
p301_150,ssn,10
p301_151,ssn,5
p301_152,ssn,0
p301_153,station,15
p301_154,station,10
p301_155,station,5
p301_156,station,0
p301_157,traffic,15
p301_158,traffic,10
p301_159,traffic,5
p301_160,traffic,0
p301_161,babble,15
p301_162,babble,10
p301_163,babble,5
p301_164,babble,0
p301_165,cafeteria,15
p301_166,cafeteria,10
p301_167,cafeteria,5
p301_168,cafeteria,0
p301_169,car,15
p301_170,car,10
p301_171,car,5
p301_172,car,0
p301_173,kitchen,15
p301_174,kitchen,10
p301_175,kitchen,5
p301_176,kitchen,0
p301_177,meeting,15
p301_178,meeting,10
p301_179,meeting,5
p301_180,meeting,0
p301_181,metro,15
p301_182,metro,10
p301_183,metro,5
p301_184,metro,0
p301_185,restaurant,15
p301_186,restaurant,10
p301_187,restaurant,5
p301_188,restaurant,0
p301_189,ssn,15
p301_190,ssn,10
p301_191,ssn,5
p301_192,ssn,0
p301_193,station,15
p301_194,station,10
p301_195,station,5
p301_196,station,0
p301_197,traffic,15
p301_198,traffic,10
p301_199,traffic,5
p301_200,traffic,0
p301_201,babble,15
p301_202,babble,10
p301_203,babble,5
p301_204,babble,0
p301_205,cafeteria,15
p301_206,cafeteria,10
p301_207,cafeteria,5
p301_208,cafeteria,0
p301_209,car,15
p301_210,car,10
p301_211,car,5
p301_212,car,0
p301_213,kitchen,15
p301_214,kitchen,10
p301_215,kitchen,5
p301_216,kitchen,0
p301_217,meeting,15
p301_218,meeting,10
p301_219,meeting,5
p301_220,meeting,0
p301_221,metro,15
p301_222,metro,10
p301_223,metro,5
p301_224,metro,0
p301_225,restaurant,15
p301_226,restaurant,10
p301_227,restaurant,5
p301_228,restaurant,0
p301_229,ssn,15
p301_230,ssn,10
p301_231,ssn,5
p301_232,ssn,0
p301_233,station,15
p301_234,station,10
p301_235,station,5
p301_236,station,0
p301_237,traffic,15
p301_238,traffic,10
p301_239,traffic,5
p301_240,traffic,0
p301_241,babble,15
p301_242,babble,10
p301_243,babble,5
p301_245,babble,0
p301_246,cafeteria,15
p301_248,cafeteria,10
p301_249,cafeteria,5
p301_250,cafeteria,0
p301_251,car,15
p301_252,car,10
p301_253,car,5
p301_254,car,0
p301_255,kitchen,15
p301_256,kitchen,10
p301_257,kitchen,5
p301_258,kitchen,0
p301_259,meeting,15
p301_260,meeting,10
p301_261,meeting,5
p301_262,meeting,0
p301_263,metro,15
p301_264,metro,10
p301_265,metro,5
p301_266,metro,0
p301_267,restaurant,15
p301_268,restaurant,10
p301_269,restaurant,5
p301_270,restaurant,0
p301_271,ssn,15
p301_272,ssn,10
p301_273,ssn,5
p301_274,ssn,0
p301_275,station,15
p301_276,station,10
p301_277,station,5
p301_278,station,0
p301_279,traffic,15
p301_280,traffic,10
p301_281,traffic,5
p301_282,traffic,0
p301_283,babble,15
p301_284,babble,10
p301_285,babble,5
p301_286,babble,0
p301_287,cafeteria,15
p301_288,cafeteria,10
p301_289,cafeteria,5
p301_290,cafeteria,0
p301_291,car,15
p301_292,car,10
p301_293,car,5
p301_294,car,0
p301_295,kitchen,15
p301_296,kitchen,10
p301_297,kitchen,5
p301_298,kitchen,0
p301_299,meeting,15
p301_300,meeting,10
p301_301,meeting,5
p301_302,meeting,0
p301_303,metro,15
p301_304,metro,10
p301_305,metro,5
p301_306,metro,0
p301_307,restaurant,15
p301_308,restaurant,10
p301_309,restaurant,5
p301_310,restaurant,0
p301_311,ssn,15
p301_312,ssn,10
p301_313,ssn,5
p301_314,ssn,0
p301_315,station,15
p301_316,station,10
p301_317,station,5
p301_318,station,0
p301_319,traffic,15
p301_320,traffic,10
p301_321,traffic,5
p301_322,traffic,0
p301_323,babble,15
p301_324,babble,10
p301_325,babble,5
p301_326,babble,0
p301_327,cafeteria,15
p301_328,cafeteria,10
p301_329,cafeteria,5
p301_330,cafeteria,0
p301_331,car,15
p301_332,car,10
p301_333,car,5
p301_334,car,0
p301_335,kitchen,15
p301_336,kitchen,10
p301_337,kitchen,5
p301_338,kitchen,0
p301_339,meeting,15
p301_340,meeting,10
p301_341,meeting,5
p301_342,meeting,0
p301_343,metro,15
p301_344,metro,10
p301_345,metro,5
p301_346,metro,0
p301_347,restaurant,15
p301_348,restaurant,10
p301_349,restaurant,5
p301_350,restaurant,0
p301_351,ssn,15
p301_352,ssn,10
p301_353,ssn,5
p301_354,ssn,0
p301_355,station,15
p301_356,station,10
p301_357,station,5
p301_358,station,0
p301_359,traffic,15
p301_360,traffic,10
p301_361,traffic,5
p301_362,traffic,0
p301_363,babble,15
p301_364,babble,10
p301_365,babble,5
p301_366,babble,0
p301_367,cafeteria,15
p301_368,cafeteria,10
p301_369,cafeteria,5
p301_370,cafeteria,0
p301_371,car,15
p301_372,car,10
p301_373,car,5
p301_374,car,0
p301_375,kitchen,15
p301_376,kitchen,10
p301_377,kitchen,5
p301_378,kitchen,0
p301_379,meeting,15
p301_380,meeting,10
p301_381,meeting,5
p301_382,meeting,0
p301_383,metro,15
p301_384,metro,10
p301_385,metro,5
p301_386,metro,0
p301_387,restaurant,15
p301_388,restaurant,10
p301_389,restaurant,5
p301_390,restaurant,0
p301_391,ssn,15
p301_392,ssn,10
p301_393,ssn,5
p301_394,ssn,0
p301_395,station,15
p301_396,station,10
p301_397,station,5
p301_398,station,0
p301_399,traffic,15
p301_400,traffic,10
p301_401,traffic,5
p301_402,traffic,0
p301_403,cafeteria,5
p301_404,babble,5
p301_405,kitchen,5
p301_406,ssn,10
p301_407,meeting,5
p301_408,kitchen,0
p301_409,restaurant,0
p301_410,metro,10
p301_411,traffic,0
p305_001,babble,15
p305_002,babble,10
p305_003,babble,5
p305_004,babble,0
p305_005,cafeteria,15
p305_006,cafeteria,10
p305_007,cafeteria,5
p305_008,cafeteria,0
p305_009,car,15
p305_010,car,10
p305_011,car,5
p305_012,car,0
p305_013,kitchen,15
p305_014,kitchen,10
p305_015,kitchen,5
p305_016,kitchen,0
p305_017,meeting,15
p305_018,meeting,10
p305_019,meeting,5
p305_020,meeting,0
p305_021,metro,15
p305_022,metro,10
p305_023,metro,5
p305_024,metro,0
p305_025,restaurant,15
p305_026,restaurant,10
p305_027,restaurant,5
p305_028,restaurant,0
p305_029,ssn,15
p305_030,ssn,10
p305_031,ssn,5
p305_032,ssn,0
p305_033,station,15
p305_034,station,10
p305_035,station,5
p305_036,station,0
p305_037,traffic,15
p305_038,traffic,10
p305_039,traffic,5
p305_040,traffic,0
p305_041,babble,15
p305_042,babble,10
p305_043,babble,5
p305_044,babble,0
p305_045,cafeteria,15
p305_046,cafeteria,10
p305_047,cafeteria,5
p305_048,cafeteria,0
p305_049,car,15
p305_050,car,10
p305_051,car,5
p305_052,car,0
p305_053,kitchen,15
p305_054,kitchen,10
p305_055,kitchen,5
p305_056,kitchen,0
p305_057,meeting,15
p305_058,meeting,10
p305_059,meeting,5
p305_060,meeting,0
p305_061,metro,15
p305_062,metro,10
p305_063,metro,5
p305_064,metro,0
p305_065,restaurant,15
p305_066,restaurant,10
p305_067,restaurant,5
p305_068,restaurant,0
p305_069,ssn,15
p305_070,ssn,10
p305_071,ssn,5
p305_072,ssn,0
p305_073,station,15
p305_074,station,10
p305_075,station,5
p305_076,station,0
p305_077,traffic,15
p305_078,traffic,10
p305_079,traffic,5
p305_080,traffic,0
p305_081,babble,15
p305_082,babble,10
p305_083,babble,5
p305_084,babble,0
p305_085,cafeteria,15
p305_086,cafeteria,10
p305_087,cafeteria,5
p305_088,cafeteria,0
p305_089,car,15
p305_090,car,10
p305_091,car,5
p305_092,car,0
p305_093,kitchen,15
p305_094,kitchen,10
p305_095,kitchen,5
p305_096,kitchen,0
p305_097,meeting,15
p305_098,meeting,10
p305_099,meeting,5
p305_100,meeting,0
p305_101,metro,15
p305_102,metro,10
p305_103,metro,5
p305_104,metro,0
p305_105,restaurant,15
p305_106,restaurant,10
p305_107,restaurant,5
p305_108,restaurant,0
p305_109,ssn,15
p305_110,ssn,10
p305_111,ssn,5
p305_112,ssn,0
p305_113,station,15
p305_114,station,10
p305_115,station,5
p305_116,station,0
p305_117,traffic,15
p305_118,traffic,10
p305_119,traffic,5
p305_120,traffic,0
p305_121,babble,15
p305_122,babble,10
p305_123,babble,5
p305_124,babble,0
p305_125,cafeteria,15
p305_126,cafeteria,10
p305_127,cafeteria,5
p305_128,cafeteria,0
p305_129,car,15
p305_130,car,10
p305_131,car,5
p305_132,car,0
p305_133,kitchen,15
p305_134,kitchen,10
p305_135,kitchen,5
p305_136,kitchen,0
p305_137,meeting,15
p305_138,meeting,10
p305_139,meeting,5
p305_140,meeting,0
p305_141,metro,15
p305_142,metro,10
p305_143,metro,5
p305_144,metro,0
p305_145,restaurant,15
p305_146,restaurant,10
p305_147,restaurant,5
p305_148,restaurant,0
p305_149,ssn,15
p305_150,ssn,10
p305_151,ssn,5
p305_153,ssn,0
p305_154,station,15
p305_155,station,10
p305_156,station,5
p305_157,station,0
p305_158,traffic,15
p305_159,traffic,10
p305_160,traffic,5
p305_161,traffic,0
p305_162,babble,15
p305_163,babble,10
p305_164,babble,5
p305_165,babble,0
p305_166,cafeteria,15
p305_167,cafeteria,10
p305_168,cafeteria,5
p305_169,cafeteria,0
p305_170,car,15
p305_171,car,10
p305_172,car,5
p305_174,car,0
p305_175,kitchen,15
p305_176,kitchen,10
p305_177,kitchen,5
p305_178,kitchen,0
p305_179,meeting,15
p305_180,meeting,10
p305_181,meeting,5
p305_182,meeting,0
p305_183,metro,15
p305_184,metro,10
p305_185,metro,5
p305_186,metro,0
p305_187,restaurant,15
p305_188,restaurant,10
p305_189,restaurant,5
p305_190,restaurant,0
p305_191,ssn,15
p305_192,ssn,10
p305_193,ssn,5
p305_194,ssn,0
p305_195,station,15
p305_196,station,10
p305_197,station,5
p305_198,station,0
p305_199,traffic,15
p305_200,traffic,10
p305_201,traffic,5
p305_202,traffic,0
p305_203,babble,15
p305_204,babble,10
p305_205,babble,5
p305_206,babble,0
p305_207,cafeteria,15
p305_208,cafeteria,10
p305_209,cafeteria,5
p305_210,cafeteria,0
p305_211,car,15
p305_212,car,10
p305_213,car,5
p305_214,car,0
p305_215,kitchen,15
p305_216,kitchen,10
p305_217,kitchen,5
p305_218,kitchen,0
p305_219,meeting,15
p305_220,meeting,10
p305_221,meeting,5
p305_222,meeting,0
p305_223,metro,15
p305_224,metro,10
p305_225,metro,5
p305_226,metro,0
p305_227,restaurant,15
p305_228,restaurant,10
p305_229,restaurant,5
p305_230,restaurant,0
p305_231,ssn,15
p305_232,ssn,10
p305_233,ssn,5
p305_234,ssn,0
p305_235,station,15
p305_236,station,10
p305_237,station,5
p305_238,station,0
p305_239,traffic,15
p305_240,traffic,10
p305_241,traffic,5
p305_242,traffic,0
p305_243,babble,15
p305_244,babble,10
p305_245,babble,5
p305_246,babble,0
p305_247,cafeteria,15
p305_248,cafeteria,10
p305_249,cafeteria,5
p305_251,cafeteria,0
p305_252,car,15
p305_253,car,10
p305_254,car,5
p305_255,car,0
p305_256,kitchen,15
p305_257,kitchen,10
p305_258,kitchen,5
p305_259,kitchen,0
p305_260,meeting,15
p305_261,meeting,10
p305_262,meeting,5
p305_263,meeting,0
p305_264,metro,15
p305_265,metro,10
p305_266,metro,5
p305_267,metro,0
p305_268,restaurant,15
p305_269,restaurant,10
p305_270,restaurant,5
p305_271,restaurant,0
p305_272,ssn,15
p305_274,ssn,10
p305_275,ssn,5
p305_276,ssn,0
p305_277,station,15
p305_278,station,10
p305_279,station,5
p305_280,station,0
p305_281,traffic,15
p305_282,traffic,10
p305_283,traffic,5
p305_284,traffic,0
p305_285,babble,15
p305_286,babble,10
p305_287,babble,5
p305_288,babble,0
p305_289,cafeteria,15
p305_290,cafeteria,10
p305_291,cafeteria,5
p305_292,cafeteria,0
p305_293,car,15
p305_294,car,10
p305_295,car,5
p305_296,car,0
p305_297,kitchen,15
p305_298,kitchen,10
p305_299,kitchen,5
p305_300,kitchen,0
p305_301,meeting,15
p305_302,meeting,10
p305_303,meeting,5
p305_304,meeting,0
p305_305,metro,15
p305_306,metro,10
p305_307,metro,5
p305_308,metro,0
p305_309,restaurant,15
p305_310,restaurant,10
p305_311,restaurant,5
p305_312,restaurant,0
p305_313,ssn,15
p305_314,ssn,10
p305_315,ssn,5
p305_316,ssn,0
p305_317,station,15
p305_319,station,10
p305_320,station,5
p305_321,station,0
p305_322,traffic,15
p305_323,traffic,10
p305_324,traffic,5
p305_325,traffic,0
p305_326,babble,15
p305_327,babble,10
p305_328,babble,5
p305_329,babble,0
p305_330,cafeteria,15
p305_331,cafeteria,10
p305_332,cafeteria,5
p305_333,cafeteria,0
p305_334,car,15
p305_335,car,10
p305_336,car,5
p305_337,car,0
p305_338,kitchen,15
p305_341,kitchen,10
p305_342,kitchen,5
p305_343,kitchen,0
p305_344,meeting,15
p305_345,meeting,10
p305_346,meeting,5
p305_347,meeting,0
p305_348,metro,15
p305_350,metro,10
p305_351,metro,5
p305_352,metro,0
p305_353,restaurant,15
p305_354,restaurant,10
p305_355,restaurant,5
p305_356,restaurant,0
p305_357,ssn,15
p305_358,ssn,10
p305_359,ssn,5
p305_360,ssn,0
p305_361,station,15
p305_362,station,10
p305_363,station,5
p305_364,station,0
p305_365,traffic,15
p305_367,traffic,10
p305_368,traffic,5
p305_369,traffic,0
p305_370,babble,15
p305_371,babble,10
p305_372,babble,5
p305_374,babble,0
p305_375,cafeteria,15
p305_376,cafeteria,10
p305_378,cafeteria,5
p305_379,cafeteria,0
p305_380,car,15
p305_381,car,10
p305_383,car,5
p305_384,car,0
p305_385,kitchen,15
p305_386,kitchen,10
p305_387,kitchen,5
p305_388,kitchen,0
p305_389,meeting,15
p305_390,meeting,10
p305_391,meeting,5
p305_392,meeting,0
p305_393,metro,15
p305_394,metro,10
p305_395,metro,5
p305_396,metro,0
p305_397,restaurant,15
p305_398,restaurant,10
p305_399,restaurant,5
p305_400,restaurant,0
p305_401,ssn,15
p305_402,ssn,10
p305_403,ssn,5
p305_405,ssn,0
p305_406,station,15
p305_407,station,10
p305_408,station,5
p305_409,station,0
p305_411,traffic,15
p305_412,traffic,10
p305_413,traffic,5
p305_414,traffic,0
p305_415,traffic,10
p305_416,car,5
p305_418,traffic,15
p305_419,meeting,15
p305_421,meeting,5
p305_422,cafeteria,15
p306_001,babble,15
p306_002,babble,10
p306_003,babble,5
p306_004,babble,0
p306_005,cafeteria,15
p306_006,cafeteria,10
p306_007,cafeteria,5
p306_008,cafeteria,0
p306_009,car,15
p306_010,car,10
p306_011,car,5
p306_012,car,0
p306_013,kitchen,15
p306_014,kitchen,10
p306_015,kitchen,5
p306_016,kitchen,0
p306_017,meeting,15
p306_018,meeting,10
p306_019,meeting,5
p306_020,meeting,0
p306_021,metro,15
p306_022,metro,10
p306_023,metro,5
p306_024,metro,0
p306_025,restaurant,15
p306_026,restaurant,10
p306_027,restaurant,5
p306_028,restaurant,0
p306_029,ssn,15
p306_030,ssn,10
p306_031,ssn,5
p306_032,ssn,0
p306_033,station,15
p306_034,station,10
p306_035,station,5
p306_036,station,0
p306_037,traffic,15
p306_038,traffic,10
p306_039,traffic,5
p306_040,traffic,0
p306_041,babble,15
p306_042,babble,10
p306_043,babble,5
p306_044,babble,0
p306_045,cafeteria,15
p306_046,cafeteria,10
p306_047,cafeteria,5
p306_048,cafeteria,0
p306_049,car,15
p306_050,car,10
p306_051,car,5
p306_052,car,0
p306_053,kitchen,15
p306_054,kitchen,10
p306_055,kitchen,5
p306_056,kitchen,0
p306_057,meeting,15
p306_058,meeting,10
p306_059,meeting,5
p306_060,meeting,0
p306_061,metro,15
p306_062,metro,10
p306_063,metro,5
p306_064,metro,0
p306_065,restaurant,15
p306_066,restaurant,10
p306_067,restaurant,5
p306_068,restaurant,0
p306_069,ssn,15
p306_070,ssn,10
p306_071,ssn,5
p306_072,ssn,0
p306_073,station,15
